plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
7.496225862269057e-13,0,23.781366666665964,0,10799.999999999996,10773.576259259256,944.03246666666666,920.25109999999995,0,1.0906
0,0,67.320016666667286,4.5474735088646412e-13,10773.576259259256,10698.776240740737,945.45018333333337,878.13016666666658,0,0.93759999999999999
112.08986666666669,0,0,0,10698.776240740737,10698.776240740737,947.04239999999993,834.95253333333324,0,0.6694
266.73269362140309,112.47084362140312,0,0,10698.776240740737,10800,944.83658333333335,790.57473333333337,0,0.66000000000000003
197.52351666666664,0,0,0,10800,10800,942.72751666666659,745.20399999999995,0,0.72170000000000001
244.81403333333321,0,0,0,10800,10800,942.84778333333327,698.03375000000005,0,0.73080000000000001
295.53461666666669,0,0,0,10800,10800,943.76679999999999,648.2321833333333,0,0.75339999999999996
345.77750000000015,0,0,0,10800,10800,944.87660000000005,599.09909999999991,0,0.7823
394.93148333333329,0,0,0,10800,10800,945.57944999999995,550.64796666666666,0,0.80549999999999999
445.4316500000001,0,0,0,10800,10800,945.16910000000007,499.73744999999997,0,0.82709999999999995
495.69658333333325,0,0,0,10800,10800,943.59876666666662,447.90218333333337,0,0.85189999999999999
547.11905000000002,0,0,0,10800,10800,944.3153666666667,397.19631666666669,0,0.87909999999999999
599.98543333333328,0,0,0,10800,10800,948.17286666666655,348.18743333333333,0,0.90239999999999998
635.4297499999999,0,0,0,10800,10800,933.94356666666658,298.51381666666668,0,0.9163
660.83068333333335,0,0,0,10800,10800,911.11873333333335,250.28805,0,0.9264
702.03693333333331,0,0,0,10800,10800,911.23231666666663,209.19538333333333,0,0.94620000000000004
738.06578333333334,0,0,0,10800,10800,910.78783333333331,172.72205,0,0.97419999999999995
775.94471666666664,0,0,0,10800,10800,915.40763333333337,139.46291666666667,0,0.98619999999999997
826.08325000000002,0,0,0,10800,10800,936.95513333333338,110.87188333333333,0,0.97599999999999998
762.42279999999994,0,0,0,10800,10800,848.53543333333323,86.112633333333321,0,1.0742
636.98261666666667,0,0,0,10800,10800,701.42813333333334,64.445516666666663,0,1.2313000000000001
531.89404999999817,0,109.2672500000017,0,10800,10678.591944444443,687.12684999999988,45.965549999999993,0,1.2561
678.83053333333328,0,0,0,10678.591944444443,10678.591944444443,709.32263333333333,30.492099999999997,0,1.2446999999999999
686.2684999999999,0,0,0,10678.591944444443,10678.591944444443,704.32539999999995,18.056899999999999,0,1.2544999999999999
696.50438333333329,0,0,0,10678.591944444443,10678.591944444443,705.55639999999994,9.0520166666666668,0,1.2522
0,0,704.63426666666714,5.6843418860808015e-13,10678.591944444443,9895.6649814814791,707.74374999999986,3.1094833333333334,0,1.2881
1.1368683772161603e-13,0,706.48403333333317,0,9895.6649814814791,9110.68272222222,706.52991666666662,0.045883333333333332,0,1.3466
5.6843418860808015e-13,0,707.40646666666601,0,9110.68272222222,8324.6755370370356,707.44473333333326,0.038266666666666664,0,1.3523000000000001
0,0,708.55300000000022,2.2737367544323206e-13,8324.6755370370356,7537.3944259259242,708.65311666666662,0.10011666666666666,0,1.3445
0,0,709.44688333333329,0,7537.3944259259242,6749.1201111111095,709.44688333333329,0,0,1.3483000000000001
5.6843418860808015e-13,0,711.2324499999994,0,6749.1201111111095,5958.8618333333325,711.23244999999997,0,0,1.349
0,0,711.66250000000025,2.2737367544323206e-13,5958.8618333333325,5168.1257222222212,711.66250000000002,0,0,1.3472999999999999
4.5474735088646412e-13,0,711.44503333333273,0,5168.1257222222212,4377.6312407407404,711.44503333333319,0,0,1.3482000000000001
0,0,713.70408333333341,1.1368683772161603e-13,4377.6312407407404,3584.6267037037032,713.7040833333333,0,0,1.3512999999999999
1.1368683772161603e-13,0,715.28414999999984,0,3584.6267037037032,2789.8665370370368,715.28414999999995,0,0,1.3400000000000001
0,0,715.22685000000001,0,2789.8665370370368,1995.1700370370368,715.22685000000001,0,0,1.3489
1.1368683772161603e-13,0,715.65303333333316,0,1995.1700370370368,1200,715.65303333333327,0,0,1.3952
715.86891666666656,0,0,0,1200,1200,715.86891666666656,0,0,1.2225999999999999
717.00511666666671,0,0,0,1200,1200,717.00511666666671,0,0,0.93320000000000003
720.16030000000001,0,0,0,1200,1200,720.16030000000001,0,0,0.90680000000000005
717.05486666666661,0,0,0,1200,1200,717.05486666666661,0,0,0.93710000000000004
720.44596666666666,0,0,0,1200,1200,720.44596666666666,0,0,0.93710000000000004
738.13471666666658,0,0,0,1200,1200,738.13471666666658,0,0,0.98709999999999998
671.69356666666658,0,0,0,1200,1200,671.69356666666658,0,0,0.77639999999999998
1393.7903166666665,833.33333333333326,0,0,1200,1950,560.45698333333326,0,0,0.4209
1384.8988999999999,833.33333333333326,0,0,1950,2700,551.56556666666665,0,0,0.38590000000000002
568.8260499999999,0,0,0,2700,2700,568.8260499999999,0,0,0.43680000000000002
1396.98855,833.33333333333326,0,1.1368683772161603e-13,2700,3450,563.65521666666666,0,0,0.41980000000000001
1397.7598666666665,833.33333333333326,0,0,3450,4200,564.42653333333328,0,0,0.41860000000000003
566.74743333333322,0,0,0,4200,4200,566.74743333333322,0,0,0.42409999999999998
1399.8737666666666,833.33333333333326,0,0,4200,4950,566.54043333333334,0,0,0.42370000000000002
567.83015,0,0,0,4950,4950,567.83015,0,0,0.42480000000000001
569.35863333333327,0,0,0,4950,4950,569.35863333333327,0,0,0.42399999999999999
1403.6635166666665,833.33333333333326,0,0,4950,5700,570.33018333333325,0,0,0.42199999999999999
904.94871666666654,333.33333333333331,0,0,5700,6000,571.61538333333328,0,0,0.42399999999999999
573.17683333333332,0,0,0,6000,6000,573.17683333333332,0,0,0.42709999999999998
574.12098333333324,0,0,0,6000,6000,574.12098333333324,0,0,0.42759999999999998
