date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-05-06,greedy,33051.830201902412,12133.345789560295,45185.175991462704,55885.045761717163,1931.7352766982895,9,999.50688098578053,21297.92308814812,17350.731297385108,5369.8844390879167,5259.4248879933348,0,0
2025-05-07,greedy,38340.479854611964,3700.6554527676712,42041.135307379634,64442.567047692639,530.48386650912721,1,5208.4159194276135,20516.203891410856,15819.414846636699,5259.4248879933348,6146.8807828890012,0,0
2025-05-08,greedy,40974.398401745828,243.22893262500048,41217.627334370831,66495.697348451955,35.999250000000075,1,5818.311846775423,19690.685393830987,14803.813042154448,6146.8807828890012,7419.8164793875021,0,0
2025-05-09,greedy,17035.908939182256,0,17035.908939182256,30959.046388957064,0,0,19129.627568414529,16050.943173583466,12720.910203040938,7419.8164793875021,7731.320665567142,0,0
2025-05-10,greedy,16876.830492609643,0,16876.830492609643,30640.522474943609,0,0,15712.971980883951,15558.060875685358,12751.555664959036,7731.320665567142,7565.1802703961484,0,0
2025-05-11,greedy,39157.566290777613,230.05813765833253,39387.624428435949,63648.830356097416,34.144212122226236,2,5111.0891419798718,17608.189829899326,14520.383486992883,7565.1802703961484,7278.7916873134554,0,0
2025-05-12,greedy,40009.736640224452,0,40009.736640224452,65283.597185207211,0,0,10169.172924457125,15912.893496129665,12729.664468712908,7278.7916873134554,7456.3242019269237,0,0
2025-05-13,greedy,39756.599498769938,0,39756.599498769938,64994.477886772933,0,0,8653.3455691148702,17687.424822484074,14475.505271492675,7456.3242019269237,7291.1117960596239,0,0
2025-05-14,greedy,39380.606785216667,0,39380.606785216667,64262.12978844843,0,0,8046.3256937934493,17244.142188104815,14042.486876783165,7291.1117960596239,7208.0765689282216,0,0
2025-05-15,greedy,38398.551071751979,0,38398.551071751979,62649.194710562741,0,0,6093.3793414960301,18269.584212044014,14478.827126310633,7208.0765689282216,7563.1166638671348,0,0
2025-05-16,greedy,14862.061325200444,0,14862.061325200444,27505.917431637285,0,0,22774.939036478005,15664.868818692661,13649.396956866714,7563.1166638671348,6495.5019819497375,0,0
2025-05-17,greedy,16078.949431977147,0,16078.949431977147,29946.182030318334,0,0,16045.777947649944,16025.059150398025,12573.454151062968,6495.5019819497375,6947.5506050157819,0,0
2025-05-18,greedy,38130.639678928579,0,38130.639678928579,61981.072911706528,0,0,4391.7773872203661,18536.949682157276,14623.822257671114,6947.5506050157819,7382.1139215449784,0,0
2025-05-19,greedy,37054.513875986762,451.90398166666739,37506.417857653432,60444.091018308412,67.003333333333444,1,10492.292132062226,16429.92808478263,13926.342415203113,7382.1139215449784,6695.3354031792242,0,0
2025-05-20,greedy,36830.578072407123,0,36830.578072407123,60195.081179492467,0,0,2128.4279901492873,18265.11156732525,14725.853194648731,6695.3354031792242,6771.87670860669,0,0
2025-05-21,greedy,37510.102136127141,0,37510.102136127141,61384.032129561339,0,0,6740.2453990615322,16930.73226128249,13649.560814116012,6771.87670860669,6843.3570614097971,0,0
2025-05-22,greedy,35896.31972543757,17.333365000000338,35913.653090437569,58763.389540906996,2.57000000000005,1,4258.0137152883499,18255.907890090763,14564.592881138782,6843.3570614097971,7090.7931834483907,0,0
2025-05-23,greedy,14445.804674714338,1393.8818224153295,15839.686497129667,27152.794476759769,323.48004037991848,5,18015.404678979747,16774.229499710564,13734.308544883959,7090.7931834483907,6927.2569055390586,0,0
2025-05-24,greedy,15728.537823000039,0,15728.537823000039,29120.867783376838,0,0,21921.662175562797,16031.262730239541,12586.558505758838,6927.2569055390586,7370.3283563559389,0,0
2025-05-25,greedy,35861.732781592,0,35861.732781592,58704.302695831728,0,0,7357.2479870341103,16659.218138716278,13857.173613251996,7370.3283563559389,6966.7651109205981,0,0
2025-05-26,greedy,35695.158128027608,2636.8808714292791,38332.038999456883,57862.755881154582,377.99324418424294,1,810.63499566042185,17639.346478022839,14789.065298344438,6966.7651109205981,6409.8821652028846,0,0
2025-05-27,greedy,36657.701728686545,0,36657.701728686545,59821.863302354432,0,0,6519.188662577767,17902.756544286094,13990.449204509428,6409.8821652028846,6977.419494494332,0,0
2025-05-28,greedy,36017.981207577497,0,36017.981207577497,58581.651780521272,0,0,2582.362861826562,18750.379673314783,15024.91485462007,6977.419494494332,7158.4113620108883,0,0
2025-05-29,greedy,35257.963093992745,233.87681211970445,35491.839906112451,57696.640969277141,34.173384671689291,2,800.68583177199537,18844.448666822725,16024.443644645884,7158.4113620108883,6313.4777792114646,0,0
2025-05-30,greedy,14592.102141781987,0,14592.102141781987,27716.782242632464,0,0,17691.105809139546,16451.350405047873,13021.90723822162,6313.4777792114646,6650.9073235083106,0,0
2025-05-31,greedy,14680.697456760066,119.30317442154637,14800.000631181612,28022.478610262813,29.507122447243294,2,16336.301430026946,16994.922587834015,13668.419835150908,6650.9073235083106,6759.2045023912524,0,0
2025-06-01,greedy,35749.221176849649,80317.324462496617,116066.54563934627,58925.479811117373,13045.399308167367,46,9.8994115124662585,12101.325120905216,11365.171713132942,6759.2045023912524,5022.4285410582324,0,0
2025-06-02,greedy,40283.292148768101,44057.933432390346,84341.225581158447,66729.418956308597,6573.7047604956106,15,618.8346339485588,20036.95073279857,15993.469099942915,5022.4285410582324,5285.1629784181505,0,0
