slot,interval,plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
62,10:20-10:30,0,173.52024999999992,0,0,2211.2458307407396,2367.4140557407395,978.91179999999997,1152.4320499999999,0,0.95489999999999997
63,10:30-10:40,0,201.02908333333323,0,0,2367.4140557407395,2548.3402307407396,976.3384666666667,1177.3675499999999,0,0.9839
64,10:40-10:50,0,225.40611666666655,0,0,2548.3402307407396,2751.2057357407393,974.16579999999999,1199.5719166666665,0,0.79900000000000004
65,10:50-11:00,0,244.00925000000007,0,0,2751.2057357407393,2970.8140607407395,973.17644999999993,1217.1857,0,0.50249999999999995
66,11:00-11:10,575.17091666666647,833.33333333333326,0,0,2970.8140607407395,3720.8140607407395,973.11838333333321,1231.2808,0,0.4662
67,11:10-11:20,0,272.63153333333321,0,0,3720.8140607407395,3966.1824407407394,970.57296666666662,1243.2044999999998,0,0.50070000000000003
68,11:20-11:30,0,284.32098333333329,0,0,3966.1824407407394,4222.0713257407397,969.13220000000001,1253.4531833333333,0,0.48270000000000002
69,11:30-11:40,179.27717139918269,468.57863806584947,0,0,4222.0713257407397,4643.7921000000042,972.06584999999995,1261.3673166666667,0,0.47849999999999998
70,11:40-11:50,520.12451666666652,833.33333333333326,0,0,4643.7921000000042,5393.7921000000042,952.15016666666656,1265.3589833333333,0,0.4662
71,11:50-12:00,486.40289999999993,833.33333333333326,0,0,5393.7921000000042,6143.7921000000042,919.91011666666657,1266.8405499999999,0,0.44319999999999998
72,12:00-12:10,480.41244999999992,833.33333333333326,0,0,6143.7921000000042,6893.7921000000042,915.79844999999989,1268.7193333333332,0,0.44109999999999999
73,12:10-12:20,485.29999999999995,833.33333333333326,0,0,6893.7921000000042,7643.7921000000042,919.07539999999995,1267.1087333333332,0,0.4551
74,12:20-12:30,488.60696666666661,833.33333333333326,0,0,7643.7921000000042,8393.7921000000042,914.30483333333325,1259.0311999999999,0,0.44629999999999997
75,12:30-12:40,498.27073333333317,833.33333333333326,0,0,8393.7921000000042,9143.7921000000042,910.39379999999994,1245.4564,0,0.4113
76,12:40-12:50,0,304.55176666666648,0,0,9143.7921000000042,9417.8886900000034,927.68443333333335,1232.2361999999998,0,0.56820000000000004
77,12:50-13:00,0,264.50718333333339,0,0,9417.8886900000034,9655.9451550000031,954.29246666666654,1218.7996499999999,0,0.82789999999999997
78,13:00-13:10,0,242.50754999999992,0,0,9655.9451550000031,9874.2019500000024,956.58261666666669,1199.0901666666666,0,0.86360000000000003
79,13:10-13:20,0,223.07558333333316,0,0,9874.2019500000024,10074.969975000002,952.44726666666668,1175.5228499999998,0,0.84160000000000001
80,13:20-13:30,0,198.75931666666656,0,0,10074.969975000002,10253.853360000001,952.97508333333326,1151.7343999999998,0,0.86180000000000001
81,13:30-13:40,0,177.3598166666668,0,0,10253.853360000001,10413.477195000001,951.37476666666657,1128.7345833333334,0,0.86229999999999996
82,13:40-13:50,0,151.74029999999982,0,0,10413.477195000001,10550.043465000001,949.48636666666664,1101.2266666666665,0,0.90259999999999996
83,13:50-14:00,0,120.0350333333331,0,0,10550.043465000001,10658.074995000001,948.7163833333334,1068.7514166666665,0,0.97540000000000004
84,14:00-14:10,0,87.814450000000079,0,0,10658.074995000001,10737.108,947.85484999999994,1035.6693,0,1.0002
85,14:10-14:20,0,53.624866666666549,0,0,10737.108,10785.37038,946.49366666666674,1000.1185333333333,0,0.99780000000000002
86,14:20-14:30,0,16.255133333333447,0,0,10785.37038,10800,944.90846666666653,961.16359999999997,0,1.0270999999999999
87,14:30-14:40,0,0,23.781366666666713,0,10800,10773.57625925926,944.03246666666666,920.25109999999995,0,1.0906
88,14:40-14:50,0,0,67.320016666666788,0,10773.57625925926,10698.776240740741,945.45018333333337,878.13016666666658,0,0.93759999999999999
89,14:50-15:00,112.08986666666669,0,0,0,10698.776240740741,10698.776240740741,947.04239999999993,834.95253333333324,0,0.6694
90,15:00-15:10,266.73269362139905,112.47084362139907,0,0,10698.776240740741,10800,944.83658333333335,790.57473333333337,0,0.66000000000000003
91,15:10-15:20,197.52351666666664,0,0,0,10800,10800,942.72751666666659,745.20399999999995,0,0.72170000000000001
92,15:20-15:30,244.81403333333321,0,0,0,10800,10800,942.84778333333327,698.03375000000005,0,0.73080000000000001
93,15:30-15:40,295.53461666666669,0,0,0,10800,10800,943.76679999999999,648.2321833333333,0,0.75339999999999996
94,15:40-15:50,345.77750000000015,0,0,0,10800,10800,944.87660000000005,599.09909999999991,0,0.7823
95,15:50-16:00,394.93148333333329,0,0,0,10800,10800,945.57944999999995,550.64796666666666,0,0.80549999999999999
