plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
0.0,244.00925000000007,0.0,0.0,2751.2057357407393,2970.8140607407395,973.1764499999999,1217.1857,0.0,0.5025
575.1709166666665,833.3333333333333,0.0,0.0,2970.8140607407395,3720.8140607407395,973.1183833333332,1231.2808,0.0,0.4662
0.0,272.6315333333332,0.0,0.0,3720.8140607407395,3966.1824407407394,970.5729666666666,1243.2044999999998,0.0,0.5007
0.0,284.3209833333333,0.0,0.0,3966.1824407407394,4222.07132574074,969.1322,1253.4531833333333,0.0,0.4827
179.2771713991827,468.5786380658495,0.0,0.0,4222.07132574074,4643.792100000004,972.06585,1261.3673166666667,0.0,0.4785
520.1245166666665,833.3333333333333,0.0,0.0,4643.792100000004,5393.792100000004,952.1501666666666,1265.3589833333333,0.0,0.4662
486.40289999999993,833.3333333333333,0.0,0.0,5393.792100000004,6143.792100000004,919.9101166666666,1266.84055,0.0,0.4432
480.4124499999999,833.3333333333333,0.0,0.0,6143.792100000004,6893.792100000004,915.7984499999999,1268.7193333333332,0.0,0.4411
485.29999999999995,833.3333333333333,0.0,0.0,6893.792100000004,7643.792100000004,919.0754,1267.1087333333332,0.0,0.4551
488.6069666666666,833.3333333333333,0.0,0.0,7643.792100000004,8393.792100000004,914.3048333333332,1259.0312,0.0,0.4463
498.27073333333317,833.3333333333333,0.0,0.0,8393.792100000004,9143.792100000004,910.3937999999999,1245.4564,0.0,0.4113
0.0,304.5517666666665,0.0,0.0,9143.792100000004,9417.888690000003,927.6844333333333,1232.2361999999998,0.0,0.5682
0.0,264.5071833333334,0.0,0.0,9417.888690000003,9655.945155000003,954.2924666666665,1218.79965,0.0,0.8279
0.0,242.50754999999992,0.0,0.0,9655.945155000003,9874.201950000002,956.5826166666667,1199.0901666666666,0.0,0.8636
0.0,223.07558333333316,0.0,0.0,9874.201950000002,10074.969975000002,952.4472666666667,1175.5228499999998,0.0,0.8416
0.0,198.75931666666656,0.0,0.0,10074.969975000002,10253.853360000001,952.9750833333333,1151.7343999999998,0.0,0.8618
0.0,177.3598166666668,0.0,0.0,10253.853360000001,10413.477195000001,951.3747666666666,1128.7345833333334,0.0,0.8623
0.0,151.74029999999982,0.0,0.0,10413.477195000001,10550.043465,949.4863666666666,1101.2266666666665,0.0,0.9026
0.0,120.0350333333331,0.0,0.0,10550.043465,10658.074995,948.7163833333334,1068.7514166666665,0.0,0.9754
0.0,87.81445000000008,0.0,0.0,10658.074995,10737.108,947.8548499999999,1035.6693,0.0,1.0002
0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,946.4936666666667,1000.1185333333333,0.0,0.9978
0.0,16.255133333333447,0.0,0.0,10785.37038,10800.0,944.9084666666665,961.1636,0.0,1.0271
0.0,0.0,23.781366666666713,0.0,10800.0,10773.57625925926,944.0324666666667,920.2511,0.0,1.0906
0.0,0.0,67.32001666666679,0.0,10773.57625925926,10698.77624074074,945.4501833333334,878.1301666666666,0.0,0.9376
112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,947.0423999999999,834.9525333333332,0.0,0.6694
266.73269362139905,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,944.8365833333334,790.5747333333334,0.0,0.66
