date,model,nominal_cost,oracle_lower,regret
2025-08-03,gru_mean,55153.456365339443,54638.231558903455,515.22480643598828
2025-08-04,seasonal,54759.612150807254,54160.35260019455,599.25955061270361
2025-08-04,ridge,54692.800216604257,54160.35260019455,532.44761640970682
2025-08-04,gru_mean,54711.050216604257,54160.35260019455,550.69761640970682
2025-08-05,seasonal,54876.064791600998,54366.807821609043,509.25696999195497
2025-08-05,ridge,54782.551076393574,54366.807821609043,415.74325478453102
2025-08-05,gru_mean,54860.801589731585,54366.807821609043,493.99376812254195
2025-08-06,seasonal,50635.632452576581,50319.84544893539,315.7870036411914
2025-08-06,ridge,50623.327513834469,50319.84544893539,303.48206489907898
2025-08-06,gru_mean,50632.031337801767,50319.84544893539,312.18588886637735
2025-08-07,seasonal,51345.036692893351,51112.956775600935,232.07991729241621
2025-08-07,ridge,51565.294592720173,51112.956775600935,452.33781711923803
2025-08-07,gru_mean,51495.074153955691,51112.956775600935,382.11737835475651
2025-08-08,seasonal,21499.027234162102,21276.645057094131,222.3821770679715
2025-08-08,ridge,21513.326000714129,21276.645057094131,236.68094361999829
2025-08-08,gru_mean,21515.631975117278,21276.645057094131,238.98691802314715
2025-08-09,seasonal,22225.901970713858,21824.634518695751,401.26745201810627
2025-08-09,ridge,22186.613031806584,21824.634518695751,361.97851311083286
2025-08-09,gru_mean,22177.035304047189,21824.634518695751,352.40078535143766
2025-08-10,seasonal,51981.798180267448,51746.252841517206,235.54533875024208
2025-08-10,ridge,52043.701440141573,51746.252841517206,297.44859862436715
2025-08-10,gru_mean,52024.628212943855,51746.252841517206,278.37537142664951
2025-08-11,seasonal,52705.104353312483,52102.113908160638,602.99044515184505
2025-08-11,ridge,52825.476900093541,52102.113908160638,723.36299193290324
2025-08-11,gru_mean,52727.089659038495,52102.113908160638,624.97575087785663
2025-08-12,seasonal,52699.916563131737,52414.885499462252,285.03106366948487
2025-08-12,ridge,52671.00225854334,52414.885499462252,256.11675908108737
2025-08-12,gru_mean,52658.516563131736,52414.885499462252,243.63106366948341
2025-08-13,seasonal,51223.784368709166,50994.448637394205,229.33573131496087
2025-08-13,ridge,51215.421702042506,50994.448637394205,220.97306464830035
2025-08-13,gru_mean,51223.784368709166,50994.448637394205,229.33573131496087
2025-08-14,seasonal,51809.307740077857,51446.34564865139,362.96209142646694
2025-08-14,ridge,51813.539256438511,51446.34564865139,367.19360778712144
2025-08-14,gru_mean,51841.439429088903,51446.34564865139,395.09378043751349
2025-08-15,seasonal,21515.91101820103,21365.816912687769,150.09410551326073
2025-08-15,ridge,21595.333091596127,21365.816912687769,229.51617890835769
2025-08-15,gru_mean,21542.77237172678,21365.816912687769,176.95545903901075
2025-08-16,seasonal,22345.290109997277,21992.043809409672,353.24630058760522
2025-08-16,ridge,22373.528839064616,21992.043809409672,381.48502965494481
2025-08-16,gru_mean,22348.002816829838,21992.043809409672,355.95900742016602
2025-08-17,seasonal,51646.598829045048,51142.47992699618,504.11890204886731
2025-08-17,ridge,51530.456504015601,51142.47992699618,387.9765770194208
2025-08-17,gru_mean,51562.940529063693,51142.47992699618,420.46060206751281
2025-08-18,seasonal,52045.691486842821,51792.739212509397,252.9522743334237
2025-08-18,ridge,52157.203426257423,51792.739212509397,364.46421374802594
2025-08-18,gru_mean,52059.751371203864,51792.739212509397,267.01215869446605
2025-08-19,seasonal,53308.073458022831,53130.38230560159,177.69115242124099
2025-08-19,ridge,53419.987746549028,53130.38230560159,289.60544094743818
2025-08-19,gru_mean,53348.114314145299,53130.38230560159,217.73200854370953
2025-08-20,seasonal,51547.304658066139,51127.497609078084,419.80704898805561
2025-08-20,ridge,51510.320646023982,51127.497609078084,382.82303694589791
2025-08-20,gru_mean,51510.490658066134,51127.497609078084,382.99304898804985
2025-08-21,seasonal,52984.419373932484,52644.446664584932,339.97270934755215
2025-08-21,ridge,52980.561733233684,52644.446664584932,336.11506864875264
2025-08-21,gru_mean,53000.313978822582,52644.446664584932,355.86731423765013
2025-08-22,seasonal,21823.102203780967,21499.941054434192,323.16114934677535
2025-08-22,ridge,21854.485537114298,21499.941054434192,354.54448268010674
2025-08-22,gru_mean,21784.214549700901,21499.941054434192,284.27349526670878
2025-08-23,seasonal,22903.951071900323,22688.204520172847,215.74655172747589
2025-08-23,ridge,22917.519276062572,22688.204520172847,229.31475588972535
2025-08-23,gru_mean,22867.378509787901,22688.204520172847,179.17398961505387
2025-08-24,seasonal,53084.857136056955,52771.73541506609,313.12172099086456
2025-08-24,ridge,53070.213170124989,52771.73541506609,298.47775505889877
2025-08-24,gru_mean,53051.290187103528,52771.73541506609,279.55477203743794
2025-08-25,seasonal,53336.074672733419,52955.889719761151,380.18495297226764
2025-08-25,ridge,53376.798328070727,52955.889719761151,420.90860830957536
2025-08-25,gru_mean,53343.5893807682,52955.889719761151,387.69966100704914
2025-08-26,seasonal,54497.024845813372,53949.003591460947,548.02125435242488
2025-08-26,ridge,54478.936364452406,53949.003591460947,529.93277299145848
2025-08-26,gru_mean,54453.791505844354,53949.003591460947,504.78791438340704
2025-08-27,seasonal,52207.804441288354,51754.984825709122,452.81961557923205
2025-08-27,ridge,52225.639948563738,51754.984825709122,470.65512285461591
2025-08-27,gru_mean,52238.314723277799,51754.984825709122,483.32989756867755
2025-08-28,seasonal,53294.419396920654,52752.591883311783,541.8275136088705
2025-08-28,ridge,53278.530045349224,52752.591883311783,525.93816203744063
2025-08-28,gru_mean,53322.475301358027,52752.591883311783,569.88341804624361
2025-08-29,seasonal,23108.824532066152,22857.280276235244,251.54425583090779
2025-08-29,ridge,23129.788690214704,22857.280276235244,272.50841397945987
2025-08-29,gru_mean,23116.191952136782,22857.280276235244,258.91167590153782
2025-08-30,seasonal,23448.527371545944,23058.299200854181,390.22817069176381
2025-08-30,ridge,23577.952179814187,23058.299200854181,519.65297896000629
2025-08-30,gru_mean,23582.634593816922,23058.299200854181,524.33539296274103
2025-08-31,seasonal,53708.462010668292,53242.538359403537,465.92365126475488
2025-08-31,ridge,53814.877913502743,53242.538359403537,572.339554099206
2025-08-31,gru_mean,53768.090754728153,53242.538359403537,525.55239532461565
2025-09-01,seasonal,48069.284592199081,47743.496852531876,325.78773966720473
2025-09-01,ridge,48095.298813412628,47743.496852531876,351.80196088075172
2025-09-01,gru_mean,48033.898748685882,47743.496852531876,290.40189615400595
2025-09-02,seasonal,38921.572675449584,38662.59426461676,258.97841083282401
2025-09-02,ridge,38975.166841853716,38662.59426461676,312.57257723695511
2025-09-02,gru_mean,39019.575000084769,38662.59426461676,356.98073546800879
2025-09-03,seasonal,40721.109071029052,40201.105569221196,520.00350180785608
2025-09-03,ridge,40830.854343423809,40201.105569221196,629.74877420261328
2025-09-03,gru_mean,40771.483950764115,40201.105569221196,570.37838154291967
2025-09-04,seasonal,38907.808051047439,38433.324862974434,474.48318807300529
2025-09-04,ridge,38960.873602430715,38433.324862974434,527.5487394562806
2025-09-04,gru_mean,38973.940742369108,38433.324862974434,540.61587939467427
2025-09-05,seasonal,13699.822822385282,13374.600330789848,325.22249159543389
2025-09-05,ridge,13721.874346889737,13374.600330789848,347.2740160998892
2025-09-05,gru_mean,13806.07963975804,13374.600330789848,431.47930896819162
2025-09-06,seasonal,15208.339872921544,14900.999021731051,307.34085119049269
2025-09-06,ridge,15193.638065832689,14900.999021731051,292.63904410163741
2025-09-06,gru_mean,15213.521786510841,14900.999021731051,312.52276477978921
2025-09-07,seasonal,39109.849094579797,38746.733157104078,363.11593747571897
2025-09-07,ridge,39117.837707341925,38746.733157104078,371.10455023784743
2025-09-07,gru_mean,39122.926477335597,38746.733157104078,376.19332023151946
2025-09-08,seasonal,32711.504478047842,32188.915269493493,522.58920855434917
2025-09-08,ridge,32707.772210909476,32188.915269493493,518.85694141598287
2025-09-08,gru_mean,32711.504478047842,32188.915269493493,522.58920855434917
2025-09-09,seasonal,35013.289565673942,34428.044433429452,585.24513224449038
2025-09-09,ridge,35136.394957356795,34428.044433429452,708.3505239273436
2025-09-09,gru_mean,34977.564439842608,34428.044433429452,549.52000641315681
2025-09-10,seasonal,37466.9641572193,37110.511575498385,356.45258172091417
2025-09-10,ridge,37685.669578891771,37110.511575498385,575.15800339338602
2025-09-10,gru_mean,37382.277748567736,37110.511575498385,271.76617306935077
2025-09-11,seasonal,37930.853772649607,37397.816071240493,533.03770140911365
2025-09-11,ridge,37904.300443513581,37397.816071240493,506.4843722730875
2025-09-11,gru_mean,37910.799684880127,37397.816071240493,512.9836136396334
2025-09-12,seasonal,12117.025086769723,11844.966341273412,272.05874549631153
2025-09-12,ridge,12147.5106364488,11844.966341273412,302.54429517538847
2025-09-12,gru_mean,12251.892855854487,11844.966341273412,406.92651458107503
2025-09-13,seasonal,13079.422773786766,12851.070144854573,228.3526289321926
2025-09-13,ridge,13082.614792009394,12851.070144854573,231.54464715482027
2025-09-13,gru_mean,13091.564792009394,12851.070144854573,240.494647154821
2025-09-14,seasonal,37249.533802601007,36764.93379225643,484.60001034457673
2025-09-14,ridge,37201.407058505974,36764.93379225643,436.47326624954439
2025-09-14,gru_mean,37164.459133051838,36764.93379225643,399.52534079540783
2025-09-15,seasonal,40403.814859866863,40096.833290198745,306.98156966811803
2025-09-15,ridge,40582.635158207544,40096.833290198745,485.80186800879892
2025-09-15,gru_mean,40548.11126439189,40096.833290198745,451.27797419314447
2025-09-16,seasonal,40024.7497249925,39614.149684580545,410.60004041195498
2025-09-16,ridge,39936.992715843371,39614.149684580545,322.84303126282612
2025-09-16,gru_mean,39975.888813269688,39614.149684580545,361.7391286891434
2025-09-17,seasonal,44520.30625886879,44036.493641121313,483.81261774747691
2025-09-17,ridge,44520.850174115032,44036.493641121313,484.35653299371916
2025-09-17,gru_mean,44547.656516164534,44036.493641121313,511.16287504322099
2025-09-18,seasonal,41768.539627368809,41098.762351257377,669.777276111432
2025-09-18,ridge,41768.792928619136,41098.762351257377,670.03057736175833
2025-09-18,gru_mean,41896.797802636756,41098.762351257377,798.03545137937908
2025-09-19,seasonal,14507.09403908495,14293.681941909424,213.41209717552556
2025-09-19,ridge,14554.866989039536,14293.681941909424,261.18504713011134
2025-09-19,gru_mean,14557.620128468956,14293.681941909424,263.93818655953146
2025-09-20,seasonal,14712.447727951192,14356.378205184039,356.0695227671531
2025-09-20,ridge,14658.308725739918,14356.378205184039,301.93052055587941
2025-09-20,gru_mean,14714.247727951191,14356.378205184039,357.86952276715238
2025-09-21,seasonal,44569.730365859439,44009.335080683108,560.39528517633153
2025-09-21,ridge,44460.613775434067,44009.335080683108,451.2786947509594
2025-09-21,gru_mean,44404.018955028987,44009.335080683108,394.6838743458793
2025-09-22,seasonal,45115.383146959641,44770.2850554244,345.09809153524111
2025-09-22,ridge,45116.398100956329,44770.2850554244,346.11304553192895
2025-09-22,gru_mean,45133.205881237001,44770.2850554244,362.92082581260183
2025-09-23,seasonal,46346.018080500122,45685.699218376561,660.31886212356039
2025-09-23,ridge,46384.964889837116,45685.699218376561,699.26567146055459
2025-09-23,gru_mean,46358.68553611244,45685.699218376561,672.9863177358784
2025-09-24,seasonal,47262.175509308639,46775.664041449418,486.51146785922174
2025-09-24,ridge,47293.857664130381,46775.664041449418,518.19362268096302
2025-09-24,gru_mean,47308.804248247034,46775.664041449418,533.14020679761597
2025-09-25,seasonal,45876.696183918582,45407.745586190504,468.95059772807872
2025-09-25,ridge,45863.463084511677,45407.745586190504,455.71749832117348
2025-09-25,gru_mean,45827.520832382812,45407.745586190504,419.77524619230826
2025-09-26,seasonal,15148.570513564835,14808.727059098555,339.84345446627958
2025-09-26,ridge,15164.570840332277,14808.727059098555,355.84378123372153
2025-09-26,gru_mean,15165.726988299031,14808.727059098555,356.99992920047589
2025-09-27,seasonal,15905.205571064407,15569.694739188379,335.51083187602853
